,postcodes,SA2_names
1,3000,Melbourne
2,3001,Melbourne
3,3002,East Melbourne
4,3003,West Melbourne
5,3004,Southbank
6,3004,South Yarra - West
7,3004,South Yarra - West
8,3005,Docklands
9,3006,Southbank
10,3006,South Melbourne
11,3008,Docklands
12,3010,Parkville
13,3011,Footscray
14,3011,Seddon - Kingsville
15,3011,Seddon - Kingsville
16,3012,Sunshine West
17,3012,Seddon - Kingsville
18,3012,Seddon - Kingsville
19,3012,Braybrook
20,3012,West Footscray - Tottenham
21,3012,West Footscray - Tottenham
22,3013,Yarraville
23,3013,Yarraville
24,3015,Newport
25,3015,Newport
26,3015,Newport
27,3016,Williamstown
28,3016,Williamstown
29,3018,Altona
30,3018,Altona
31,3019,Braybrook
32,3019,Braybrook
33,3019,Braybrook
34,3020,Ardeer - Albion
35,3020,Sunshine West
36,3020,Sunshine
37,3020,Sunshine North
38,3020,Sunshine West
39,3021,Kings Park (Vic.)
40,3021,Keilor Downs
41,3021,Kings Park (Vic.)
42,3021,St Albans - North
43,3022,Ardeer - Albion
44,3022,Ardeer - Albion
45,3023,Burnside
46,3023,Burnside Heights
47,3023,Cairnlea
48,3023,Caroline Springs
49,3023,Deer Park - Derrimut
50,3023,Deer Park - Derrimut
51,3023,Rockbank - Mount Cottrell
52,3024,Rockbank - Mount Cottrell
53,3024,Werribee - West
54,3024,Wyndham Vale
55,3024,Tarneit
56,3024,Wyndham Vale
57,3025,Altona North
58,3025,Altona North
59,3025,Altona North
60,3026,Deer Park - Derrimut
61,3026,Laverton
62,3027,Laverton
63,3027,Laverton
64,3027,Point Cook - East
65,3028,Altona Meadows
66,3028,Laverton
67,3028,Seabrook
68,3029,Hoppers Crossing - North
69,3029,Tarneit
70,3029,Truganina
71,3030,Deer Park - Derrimut
72,3030,Werribee - South
73,3030,Point Cook - South
74,3030,Wyndham Vale
75,3030,Werribee - South
76,3030,Werribee - South
77,3031,Flemington
78,3031,Kensington (Vic.)
79,3032,Ascot Vale
80,3032,Maribyrnong
81,3032,Maribyrnong
82,3032,Flemington
83,3033,Keilor
84,3034,Keilor East
85,3036,Keilor
86,3036,Taylors Lakes
87,3037,Taylors Lakes
88,3037,Delahey
89,3037,Hillside
90,3037,Hillside
91,3037,Sydenham
92,3037,Taylors Hill
93,3038,Keilor Downs
94,3038,Taylors Lakes
95,3038,Taylors Lakes
96,3038,Taylors Lakes
97,3039,Moonee Ponds
98,3040,Essendon - Aberfeldie
99,3040,Essendon - Aberfeldie
100,3040,Niddrie - Essendon West
101,3041,Essendon Airport
102,3041,Essendon - Aberfeldie
103,3041,Strathmore
104,3041,Strathmore
105,3042,Airport West
106,3042,Keilor
107,3042,Niddrie - Essendon West
108,3042,Niddrie - Essendon West
109,3043,Gladstone Park - Westmeadows
110,3043,Gowanbrae
111,3043,Tullamarine
112,3044,Pascoe Vale
113,3044,Pascoe Vale South
114,3045,Melbourne Airport
115,3046,Glenroy
116,3046,Hadfield
117,3046,Pascoe Vale
118,3047,Broadmeadows
119,3047,Campbellfield - Coolaroo
120,3047,Broadmeadows
121,3048,Campbellfield - Coolaroo
122,3048,Meadow Heights
123,3049,Gladstone Park - Westmeadows
124,3049,Gladstone Park - Westmeadows
125,3050,Parkville
126,3051,North Melbourne
127,3051,North Melbourne
128,3052,Parkville
129,3052,Parkville
130,3053,Carlton
131,3053,Carlton
132,3054,Carlton North - Princes Hill
133,3054,Carlton North - Princes Hill
134,3055,Brunswick
135,3055,Brunswick West
136,3055,Brunswick West
137,3055,Brunswick West
138,3056,Brunswick
139,3056,Brunswick
140,3056,Brunswick
141,3057,Brunswick East
142,3057,Brunswick East
143,3057,Brunswick East
144,3058,Coburg
145,3058,Coburg
146,3058,Coburg North
147,3058,Coburg North
148,3058,Coburg
149,3059,Greenvale - Bulla
150,3060,Fawkner
151,3060,Fawkner
152,3060,Fawkner
153,3061,Campbellfield - Coolaroo
154,3062,Roxburgh Park - Somerton
155,3063,Greenvale - Bulla
156,3063,Mickleham - Yuroke
157,3064,Craigieburn - Central
158,3064,Whittlesea
159,3064,Mickleham - Yuroke
160,3064,Mickleham - Yuroke
161,3064,Roxburgh Park - Somerton
162,3065,Fitzroy
163,3066,Collingwood
164,3066,Collingwood
165,3067,Abbotsford
166,3068,Yarra - North
167,3068,Fitzroy North
168,3070,Northcote
169,3070,Northcote
170,3071,Thornbury
171,3072,Preston - West
172,3072,Preston - East
173,3072,Preston - East
174,3072,Preston - West
175,3072,Preston - East
176,3072,Preston - West
177,3072,Preston - West
178,3072,Preston - East
179,3073,Thomastown
180,3073,Reservoir - East
181,3073,Reservoir - East
182,3073,Reservoir - East
183,3073,Reservoir - East
184,3074,Thomastown
185,3075,Lalor
186,3075,Lalor
187,3076,Epping - West
188,3076,Epping - West
189,3078,Alphington - Fairfield
190,3078,Alphington - Fairfield
191,3079,Ivanhoe
192,3079,Ivanhoe East - Eaglemont
193,3079,Ivanhoe
194,3081,Heidelberg West
195,3081,Heidelberg West
196,3081,Heidelberg West
197,3081,Heidelberg West
198,3082,Mill Park - North
199,3083,Bundoora - West
200,3083,Kingsbury
201,3083,Kingsbury
202,3084,Heidelberg - Rosanna
203,3084,Ivanhoe East - Eaglemont
204,3084,Heidelberg - Rosanna
205,3084,Heidelberg - Rosanna
206,3084,Viewbank - Yallambie
207,3085,Kingsbury
208,3085,Viewbank - Yallambie
209,3085,Viewbank - Yallambie
210,3086,Kingsbury
211,3087,Watsonia
212,3087,Watsonia
213,3088,Montmorency - Briar Hill
214,3088,Greensborough
215,3088,Greensborough
216,3088,Greensborough
217,3089,Wattle Glen - Diamond Creek
218,3090,Plenty - Yarrambat
219,3091,Plenty - Yarrambat
220,3093,Montmorency - Briar Hill
221,3094,Montmorency - Briar Hill
222,3095,Eltham
223,3095,Eltham
224,3095,Research - North Warrandyte
225,3096,Wattle Glen - Diamond Creek
226,3097,Panton Hill - St Andrews
227,3097,Research - North Warrandyte
228,3097,Panton Hill - St Andrews
229,3099,Panton Hill - St Andrews
230,3099,Panton Hill - St Andrews
231,3099,Hurstbridge
232,3099,Panton Hill - St Andrews
233,3099,Panton Hill - St Andrews
234,3101,Kew
235,3101,Kew
236,3102,Kew East
237,3103,Balwyn
238,3103,Balwyn
239,3103,Balwyn
240,3103,Balwyn
241,3103,Kew East
242,3104,Balwyn North
243,3104,Balwyn North
244,3105,Bulleen
245,3105,Bulleen
246,3106,Templestowe
247,3107,Templestowe Lower
248,3108,Doncaster
249,3109,Doncaster East (South)
250,3109,Doncaster East (South)
251,3109,Doncaster East (North)
252,3109,Doncaster East (South)
253,3111,Donvale - Park Orchards
254,3113,Research - North Warrandyte
255,3113,Warrandyte - Wonga Park
256,3114,Donvale - Park Orchards
257,3115,Warrandyte - Wonga Park
258,3116,Chirnside Park
259,3121,Richmond (Vic.)
260,3121,Richmond (Vic.)
261,3121,Richmond (Vic.)
262,3121,Richmond (Vic.)
263,3121,Richmond (Vic.)
264,3121,Richmond (Vic.)
265,3121,Richmond (Vic.)
266,3121,Richmond (Vic.)
267,3122,Hawthorn East
268,3122,Hawthorn
269,3122,Hawthorn
270,3122,Hawthorn
271,3122,Hawthorn
272,3123,Hawthorn
273,3123,Hawthorn East
274,3124,Camberwell
275,3124,Camberwell
276,3124,Camberwell
277,3124,Hawthorn East
278,3124,Camberwell
279,3124,Camberwell
280,3125,Burwood
281,3125,Burwood
282,3125,Surrey Hills (West) - Canterbury
283,3126,Surrey Hills (West) - Canterbury
284,3126,Surrey Hills (West) - Canterbury
285,3127,Surrey Hills (East) - Mont Albert
286,3127,Surrey Hills (West) - Canterbury
287,3127,Surrey Hills (West) - Canterbury
288,3128,Box Hill
289,3128,Box Hill
290,3128,Box Hill
291,3128,Box Hill
292,3128,Burwood
293,3129,Box Hill North
294,3129,Box Hill North
295,3129,Box Hill North
296,3130,Blackburn
297,3130,Blackburn
298,3130,Blackburn South
299,3130,Blackburn
300,3131,Forest Hill
301,3131,Forest Hill
302,3131,Nunawading
303,3132,Mitcham (Vic.)
304,3132,Mitcham (Vic.)
305,3132,Donvale - Park Orchards
306,3133,Vermont
307,3133,Vermont South
308,3134,Ringwood East
309,3134,Ringwood
310,3134,Ringwood North
311,3134,Warrandyte - Wonga Park
312,3134,Croydon Hills - Warranwood
313,3135,Ringwood East
314,3135,Ringwood East
315,3135,Ringwood East
316,3136,Croydon - West
317,3136,Croydon Hills - Warranwood
318,3136,Croydon Hills - Warranwood
319,3136,Croydon South
320,3137,Kilsyth
321,3137,Bayswater North
322,3138,Mooroolbark
323,3139,Yarra Valley
324,3139,Yarra Valley
325,3139,Yarra Valley
326,3139,Yarra Valley
327,3139,Wandin - Seville
328,3139,Wandin - Seville
329,3139,Wandin - Seville
330,3139,Wandin - Seville
331,3139,Yarra Valley
332,3139,Yarra Valley
333,3140,Lilydale - Coldstream
334,3141,South Yarra - East
335,3141,South Yarra - West
336,3141,South Yarra - East
337,3142,South Yarra - East
338,3142,Toorak
339,3143,Armadale
340,3143,Armadale
341,3144,Malvern - Glen Iris
342,3144,Malvern - Glen Iris
343,3144,Malvern - Glen Iris
344,3145,Caulfield - North
345,3145,Malvern East
346,3145,Malvern East
347,3145,Malvern East
348,3145,Malvern East
349,3145,Malvern - Glen Iris
350,3146,Malvern - Glen Iris
351,3147,Ashburton (Vic.)
352,3147,Ashwood - Chadstone
353,3148,Ashwood - Chadstone
354,3148,Malvern East
355,3148,Ashwood - Chadstone
356,3148,Mount Waverley - North
357,3149,Mount Waverley - South
358,3149,Mount Waverley - South
359,3149,Glen Waverley - West
360,3150,Wheelers Hill
361,3150,Glen Waverley - East
362,3150,Wheelers Hill
363,3151,Burwood East
364,3151,Burwood East
365,3152,Wantirna South
366,3152,Wantirna South
367,3152,Wantirna
368,3152,Wantirna South
369,3153,Bayswater
370,3153,Bayswater North
371,3154,The Basin
372,3155,Boronia
373,3156,Ferntree Gully (North)
374,3156,Lysterfield
375,3156,Endeavour Hills - North
376,3156,Ferntree Gully (South) - Upper Ferntree Gully
377,3156,Ferntree Gully (South) - Upper Ferntree Gully
378,3158,Upwey - Tecoma
379,3159,Belgrave - Selby
380,3159,Belgrave - Selby
381,3160,Belgrave - Selby
382,3160,Belgrave - Selby
383,3160,Belgrave - Selby
384,3160,Upwey - Tecoma
385,3161,Caulfield - North
386,3161,Caulfield - North
387,3162,Caulfield - South
388,3162,Caulfield - South
389,3162,Elsternwick
390,3163,Caulfield - South
391,3163,Carnegie
392,3163,Ormond - Glen Huntly
393,3163,Murrumbeena
394,3164,Dandenong
395,3165,Bentleigh East (North)
396,3165,Bentleigh East (North)
397,3166,Hughesdale
398,3166,Oakleigh - Huntingdale
399,3166,Oakleigh - Huntingdale
400,3166,Oakleigh - Huntingdale
401,3167,Oakleigh - Huntingdale
402,3168,Clayton
403,3168,Clayton
404,3169,Clarinda - Oakleigh South
405,3169,Clayton South
406,3170,Mulgrave
407,3170,Mulgrave
408,3171,Springvale
409,3171,Springvale
410,3172,Dingley Village
411,3172,Springvale South
412,3173,Keysborough
413,3174,Noble Park - West
414,3174,Noble Park - West
415,3174,Noble Park - East
416,3175,Keysborough
417,3175,Dandenong
418,3175,Dandenong
419,3175,Dandenong North
420,3175,Dandenong
421,3175,Dandenong North
422,3176,Knoxfield - Scoresby
423,3177,Doveton
424,3177,Doveton
425,3178,Rowville - Central
426,3179,Knoxfield - Scoresby
427,3180,Knoxfield - Scoresby
428,3181,Prahran - Windsor
429,3181,Prahran - Windsor
430,3181,Prahran - Windsor
431,3182,St Kilda
432,3182,St Kilda
433,3182,St Kilda
434,3183,St Kilda East
435,3183,St Kilda East
436,3184,Elwood
437,3184,Elwood
438,3185,Elsternwick
439,3185,Elsternwick
440,3185,St Kilda East
441,3186,Brighton (Vic.)
442,3186,Brighton (Vic.)
443,3186,Brighton (Vic.)
444,3186,Brighton (Vic.)
445,3187,Brighton East
446,3187,Caulfield - South
447,3188,Hampton
448,3188,Hampton
449,3188,Hampton
450,3189,Moorabbin - Heatherton
451,3189,Moorabbin - Heatherton
452,3189,Moorabbin - Heatherton
453,3190,Cheltenham - Highett (West)
454,3191,Sandringham - Black Rock
455,3192,Cheltenham - Highett (East)
456,3192,Cheltenham - Highett (East)
457,3192,Cheltenham - Highett (East)
458,3192,Cheltenham - Highett (East)
459,3193,Beaumaris
460,3193,Sandringham - Black Rock
461,3193,Sandringham - Black Rock
462,3193,Beaumaris
463,3194,Mentone
464,3194,Mentone
465,3194,Moorabbin Airport
466,3195,Edithvale - Aspendale
467,3195,Aspendale Gardens - Waterways
468,3195,Braeside
469,3195,Mordialloc - Parkdale
470,3195,Mordialloc - Parkdale
471,3195,Mordialloc - Parkdale
472,3195,Aspendale Gardens - Waterways
473,3196,Chelsea - Bonbeach
474,3196,Chelsea - Bonbeach
475,3196,Chelsea Heights
476,3196,Edithvale - Aspendale
477,3197,Carrum - Patterson Lakes
478,3197,Carrum - Patterson Lakes
479,3198,Seaford (Vic.)
480,3198,Seaford (Vic.)
481,3199,Frankston
482,3199,Frankston
483,3199,Frankston
484,3199,Frankston South
485,3199,Frankston North
486,3199,Frankston North
487,3200,Frankston North
488,3200,Frankston North
489,3201,Carrum Downs
490,3202,Moorabbin - Heatherton
491,3204,Bentleigh - McKinnon
492,3204,Bentleigh - McKinnon
493,3204,Ormond - Glen Huntly
494,3204,Bentleigh - McKinnon
495,3205,South Melbourne
496,3205,South Melbourne
497,3206,Albert Park
498,3206,Albert Park
499,3207,Port Melbourne
500,3207,Port Melbourne Industrial
501,3211,Lara
502,3212,Lara
503,3212,Lara
504,3212,Lara
505,3213,Lara
506,3213,North Geelong - Bell Park
507,3213,Corio - Norlane
508,3213,Corio - Norlane
509,3214,Corio - Norlane
510,3214,Corio - Norlane
511,3214,Corio - Norlane
512,3215,North Geelong - Bell Park
513,3215,North Geelong - Bell Park
514,3215,North Geelong - Bell Park
515,3215,North Geelong - Bell Park
516,3215,Geelong West - Hamlyn Heights
517,3215,North Geelong - Bell Park
518,3215,North Geelong - Bell Park
519,3216,Belmont
520,3216,Highton
521,3216,Grovedale
522,3216,Grovedale
523,3216,Highton
524,3216,Grovedale
525,3216,Highton
526,3216,Highton
527,3216,Highton
528,3217,Ocean Grove - Barwon Heads
529,3217,Grovedale
530,3217,Burwood
531,3217,Winchelsea
532,3217,Torquay
533,3218,Geelong West - Hamlyn Heights
534,3218,Geelong West - Hamlyn Heights
535,3218,Geelong West - Hamlyn Heights
536,3218,Geelong West - Hamlyn Heights
537,3218,Bannockburn
538,3218,Bannockburn
539,3219,Geelong
540,3219,Geelong
541,3219,Newcomb - Moolap
542,3219,Newcomb - Moolap
543,3219,Geelong
544,3219,Newcomb - Moolap
545,3220,Newtown (Vic.)
546,3220,Geelong
547,3220,Newtown (Vic.)
548,3220,Geelong
549,3221,Winchelsea
550,3221,Winchelsea
551,3221,North Geelong - Bell Park
552,3221,Portarlington
553,3221,Highton
554,3221,Geelong West - Hamlyn Heights
555,3221,Geelong
556,3221,Winchelsea
557,3221,Otway
558,3221,Otway
559,3221,Winchelsea
560,3221,Newcomb - Moolap
561,3221,Corio - Norlane
562,3221,Winchelsea
563,3221,Otway
564,3221,Lara
565,3221,Bannockburn
566,3221,Otway
567,3221,Ocean Grove - Barwon Heads
568,3221,Otway
569,3221,Otway
570,3222,Clifton Springs
571,3222,Clifton Springs
572,3222,Clifton Springs
573,3222,Point Lonsdale - Queenscliff
574,3222,Ocean Grove - Barwon Heads
575,3222,Ocean Grove - Barwon Heads
576,3223,Portarlington
577,3223,Portarlington
578,3223,Portarlington
579,3223,Portarlington
580,3224,Leopold
581,3224,Newcomb - Moolap
582,3225,Point Lonsdale - Queenscliff
583,3225,Point Lonsdale - Queenscliff
584,3225,Point Lonsdale - Queenscliff
585,3225,Point Lonsdale - Queenscliff
586,3226,Ocean Grove - Barwon Heads
587,3227,Ocean Grove - Barwon Heads
588,3227,Ocean Grove - Barwon Heads
589,3227,Ocean Grove - Barwon Heads
590,3228,Torquay
591,3228,Torquay
592,3228,Torquay
593,3228,Torquay
594,3230,Lorne - Anglesea
595,3231,Lorne - Anglesea
596,3231,Lorne - Anglesea
597,3231,Lorne - Anglesea
598,3231,Lorne - Anglesea
599,3231,Lorne - Anglesea
600,3232,Lorne - Anglesea
601,3232,Lorne - Anglesea
602,3233,Otway
603,3233,Otway
604,3233,Otway
605,3233,Otway
606,3233,Otway
607,3233,Otway
608,3234,Otway
609,3234,Otway
610,3234,Otway
611,3234,Otway
612,3234,Otway
613,3234,Otway
614,3235,Lorne - Anglesea
615,3235,Lorne - Anglesea
616,3235,Winchelsea
617,3235,Winchelsea
618,3236,Otway
619,3236,Otway
620,3237,Otway
621,3237,Otway
622,3237,Otway
623,3237,Corangamite - South
624,3237,Corangamite - South
625,3237,Otway
626,3237,Otway
627,3237,Otway
628,3238,Otway
629,3238,Otway
630,3238,Otway
631,3238,Otway
632,3239,Otway
633,3239,Otway
634,3239,Otway
635,3239,Corangamite - South
636,3240,Winchelsea
637,3240,Winchelsea
638,3240,Winchelsea
639,3240,Winchelsea
640,3240,Winchelsea
641,3240,Winchelsea
642,3241,Winchelsea
643,3241,Colac Region
644,3241,Lorne - Anglesea
645,3241,Winchelsea
646,3241,Winchelsea
647,3241,Winchelsea
648,3242,Colac Region
649,3243,Colac Region
650,3243,Colac Region
651,3243,Colac Region
652,3243,Colac Region
653,3243,Colac Region
654,3249,Colac Region
655,3249,Colac Region
656,3249,Colac Region
657,3249,Colac Region
658,3249,Otway
659,3249,Colac Region
660,3249,Colac Region
661,3249,Colac Region
662,3249,Colac Region
663,3249,Colac Region
664,3249,Colac Region
665,3249,Colac Region
666,3249,Colac Region
667,3249,Otway
668,3249,Colac Region
669,3249,Colac Region
670,3249,Colac Region
671,3249,Colac Region
672,3249,Corangamite - South
673,3249,Colac Region
674,3249,Otway
675,3249,Colac Region
676,3249,Colac Region
677,3249,Colac
678,3249,Colac Region
679,3250,Colac
680,3250,Colac
681,3250,Colac
682,3250,Colac
683,3251,Colac Region
684,3251,Colac Region
685,3251,Colac Region
686,3251,Colac Region
687,3251,Colac Region
688,3254,Colac Region
689,3260,Corangamite - North
690,3260,Corangamite - South
691,3260,Colac Region
692,3260,Camperdown
693,3260,Corangamite - South
694,3260,Camperdown
695,3260,Corangamite - North
696,3260,Corangamite - North
697,3260,Corangamite - South
698,3260,Corangamite - North
699,3260,Corangamite - South
700,3260,Corangamite - North
701,3260,Camperdown
702,3260,Corangamite - South
703,3260,Corangamite - South
704,3260,Corangamite - South
705,3260,Corangamite - South
706,3260,Corangamite - North
707,3264,Corangamite - North
708,3265,Corangamite - North
709,3265,Moyne - East
710,3265,Corangamite - South
711,3265,Corangamite - South
712,3265,Moyne - East
713,3265,Moyne - East
714,3265,Moyne - East
715,3265,Moyne - East
716,3265,Moyne - East
717,3265,Corangamite - North
718,3265,Moyne - East
719,3265,Moyne - East
720,3265,Corangamite - North
721,3265,Corangamite - North
722,3265,Moyne - East
723,3265,Corangamite - South
724,3265,Moyne - East
725,3266,Corangamite - South
726,3266,Corangamite - South
727,3266,Corangamite - South
728,3266,Corangamite - South
729,3266,Corangamite - South
730,3266,Corangamite - South
731,3266,Corangamite - South
732,3266,Corangamite - South
733,3266,Corangamite - North
734,3266,Corangamite - South
735,3267,Corangamite - South
736,3268,Corangamite - South
737,3268,Corangamite - South
738,3268,Corangamite - South
739,3268,Corangamite - South
740,3268,Corangamite - South
741,3268,Corangamite - South
742,3268,Corangamite - South
743,3268,Corangamite - South
744,3268,Corangamite - South
745,3268,Moyne - East
746,3268,Corangamite - South
747,3268,Moyne - East
748,3268,Moyne - East
749,3268,Moyne - East
750,3268,Moyne - East
751,3268,Corangamite - South
752,3268,Moyne - East
753,3268,Corangamite - South
754,3268,Corangamite - South
755,3269,Corangamite - South
756,3269,Corangamite - South
757,3269,Corangamite - South
758,3270,Corangamite - South
759,3271,Moyne - East
760,3271,Moyne - East
761,3271,Ararat Region
762,3272,Moyne - East
763,3272,Moyne - East
764,3273,Moyne - East
765,3274,Moyne - East
766,3275,Moyne - West
767,3275,Moyne - West
768,3276,Moyne - East
769,3276,Moyne - East
770,3277,Warrnambool - South
771,3277,Moyne - East
772,3277,Moyne - East
773,3277,Moyne - East
774,3277,Moyne - East
775,3277,Moyne - East
776,3278,Moyne - East
777,3278,Moyne - East
778,3279,Moyne - East
779,3279,Moyne - East
780,3280,Warrnambool - North
781,3280,Moyne - East
782,3280,Warrnambool - North
783,3280,Warrnambool - North
784,3280,Warrnambool - North
785,3281,Warrnambool - North
786,3281,Moyne - East
787,3281,Moyne - East
788,3281,Warrnambool - North
789,3282,Moyne - West
790,3282,Moyne - West
791,3283,Moyne - West
792,3283,Moyne - West
793,3283,Moyne - West
794,3283,Moyne - West
795,3283,Moyne - West
796,3283,Moyne - West
797,3283,Moyne - West
798,3283,Moyne - West
799,3283,Moyne - West
800,3283,Moyne - West
801,3284,Moyne - West
802,3284,Moyne - West
803,3285,Moyne - West
804,3285,Glenelg (Vic.)
805,3285,Moyne - West
806,3285,Moyne - West
807,3285,Moyne - West
808,3285,Glenelg (Vic.)
809,3285,Moyne - West
810,3285,Moyne - West
811,3286,Glenelg (Vic.)
812,3286,Moyne - West
813,3286,Moyne - West
814,3286,Moyne - West
815,3286,Moyne - West
816,3287,Moyne - West
817,3287,Moyne - West
818,3289,Southern Grampians
819,3289,Moyne - West
820,3289,Southern Grampians
821,3289,Moyne - East
822,3289,Southern Grampians
823,3292,Glenelg (Vic.)
824,3293,Southern Grampians
825,3293,Moyne - East
826,3293,Ararat Region
827,3294,Southern Grampians
828,3294,Southern Grampians
829,3294,Southern Grampians
830,3294,Southern Grampians
831,3294,Southern Grampians
832,3294,Southern Grampians
833,3294,Southern Grampians
834,3300,Southern Grampians
835,3300,Hamilton (Vic.)
836,3301,Southern Grampians
837,3301,Moyne - West
838,3301,Southern Grampians
839,3301,Southern Grampians
840,3301,Southern Grampians
841,3301,Southern Grampians
842,3301,Southern Grampians
843,3301,Southern Grampians
844,3301,Southern Grampians
845,3301,Glenelg (Vic.)
846,3301,Southern Grampians
847,3301,Southern Grampians
848,3301,Southern Grampians
849,3301,Southern Grampians
850,3301,Southern Grampians
851,3302,Southern Grampians
852,3302,Glenelg (Vic.)
853,3303,Glenelg (Vic.)
854,3303,Glenelg (Vic.)
855,3303,Glenelg (Vic.)
856,3303,Glenelg (Vic.)
857,3303,Glenelg (Vic.)
858,3303,Glenelg (Vic.)
859,3304,Moyne - West
